,facility,address,city,zip_cd,num_at_address,max_seats,phone,risk_level,last_inspect_date,inspect_score,cat,closed_est,year
2819,BOCA DEL RIO RESTAURANT,3706 WHITTIER BLVD,LOS ANGELES,90023,2,60,+13232631826,3,2016-09-06,92.0,,0,2016
2820,BOCCA STEAK HOUSE,8731 W PICO BLVD,LOS ANGELES,90035,1,150,+13108888874,3,2013-10-03,90.0,,1,2013
2822,BODA RESTAURANT,2310 PASADENA AVE,LOS ANGELES,90031,1,60,+13232278573,3,2016-11-21,92.0,,0,2016
2825,BODHI VEGETARIAN & VEGAN,9303 W PICO BLVD,LOS ANGELES,90035,1,30,+13102482777,3,2016-02-04,92.0,,0,2016
2826,BODY ENERGY CLUB,6318 HOLLYWOOD BLVD,LOS ANGELES,90028,1,30,+13237984804,1,2016-12-21,94.0,,0,2016
2827,BODYFACTORY,6366 W SUNSET BLVD,LOS ANGELES,90028,1,30,+18882639322,1,2016-08-02,96.0,,0,2016
2828,BODYFACTORY,8000 W SUNSET BLVD,LOS ANGELES,90046,8,30,+18882639322,1,2016-07-07,90.0,,0,2016
2846,BOK DUK BONG,476 N WESTERN AVE,LOS ANGELES,90004,2,30,+12133597004,2,2016-12-08,77.0,,0,2016
2847,BOK DUK BONG BAKERY,476 N WESTERN AVE,LOS ANGELES,90004,2,30,+1nan,2,2016-08-08,82.0,,0,2016
2848,BOKGA.,545 S WESTERN AVE,LOS ANGELES,90020,2,60,+12133803322,3,2016-05-16,90.0,,0,2016
2849,BOKKA RESTAURANT,545 S WESTERN AVE,LOS ANGELES,90020,2,60,+1nan,3,2014-05-28,93.0,,1,2014
2850,BOL,300 S SANTA FE AVE,LOS ANGELES,90012,4,30,+1nan,3,2016-11-08,92.0,,0,2016
2852,BOLEES,10100 STA MON BLVD,LOS ANGELES,90067,2,30,+13107850290,2,2016-05-25,90.0,,0,2016
2855,BOLLYWOOD BITES,1051 GAYLEY AVE,LOS ANGELES,90024,1,60,+13108241046,3,2017-01-09,90.0,,0,2017
2858,BOLT,5648 HOLLYWOOD BLVD,LOS ANGELES,90028,1,60,+13234595640,3,2017-01-17,97.0,,0,2017
2859,BOMBAY CAFE,12021 W PICO BLVD,LOS ANGELES,90064,1,150,+1nan,3,2016-08-15,95.0,,0,2016
2860,BOMBAY GRILL INDIAN FOOD,6775 SANTA MONICA BLVD,LOS ANGELES,90038,4,60,+13236038448,3,2017-01-03,92.0,,0,2017
2866,BOMBO,317 S BROADWAY,LOS ANGELES,90013,18,30,+1nan,3,2016-11-09,93.0,,0,2016
2871,BON APPETIT MANAGEMENT CO,555 S FLOWER ST,LOS ANGELES,90071,1,60,+12136739970,3,2016-11-18,94.0,,0,2016
2872,BON APPETIT MGT COMPANY,2410 LILLYVALE AVE,LOS ANGELES,90032,1,150,+12132277241,3,2016-11-01,95.0,,0,2016
2874,BON APPETTIT DELI & CAFE,1801 CENTURY PARK E,LOS ANGELES,90067,1,30,+13102777009,2,2016-10-06,80.0,,0,2016
2875,BON BON BERRY,1848 WESTWOOD BLVD,LOS ANGELES,90025,2,30,+16268077322,2,2016-12-05,93.0,,0,2016
2879,BON JOUR,735 E 12TH ST,LOS ANGELES,90021,24,30,+12132198086,2,2014-07-09,99.0,,1,2014
2881,BON VIVANT MARKET & CAFE,3155 GLENDALE BLVD,LOS ANGELES,90039,1,60,+13232848031,3,2016-11-04,98.0,,0,2016
2883,BONAPIO COOKBANG,4120 W OLYMPIC BLVD,LOS ANGELES,90019,1,30,+13237742154,3,2016-12-07,98.0,,0,2016
2885,BONAVENTURE BAKE SHOP,404 S FIGUEROA ST,LOS ANGELES,90071,18,30,+1nan,2,2016-06-30,98.0,,0,2016
2886,BONAVENTURE BONAVISTA LOUNGE,404 S FIGUEROA ST 34TH,LOS ANGELES,90071,1,151,+1nan,2,2016-05-24,96.0,,0,2016
2887,BONAVENTURE BREWING CO BAR,404 S FIGUEROA ST,LOS ANGELES,90071,18,30,+1nan,1,2016-01-08,96.0,,0,2016
2888,BONAVENTURE BREWING CO REST,404 S FIGUEROA ST,LOS ANGELES,90017,18,151,+1nan,3,2016-12-05,92.0,,0,2016
2889,BONAVENTURE-MAIN KITCHEN,404 S FIGUEROA ST,LOS ANGELES,90071,18,151,+1nan,3,2016-08-03,94.0,,0,2016
2900,BONG SOONG A HAK DANG,3950 WILSHIRE BLVD,LOS ANGELES,90010,1,60,+1nan,3,2016-09-22,85.0,,0,2016
2904,BONJUK,3551 WILSHIRE BLVD,LOS ANGELES,90010,1,60,+1nan,3,2016-08-11,90.0,,0,2016
2905,BONNIE B BAKERY,4442 W SLAUSON AVE,LOS ANGELES,90043,1,30,+1nan,3,2016-12-27,94.0,,0,2016
2908,BOOK SEA TONG,755 S VERMONT AVE,LOS ANGELES,90005,1,60,+1nan,3,2016-08-10,82.0,,0,2016
2910,BOOKS & CAFE,3760 CENTINELA AVE,LOS ANGELES,90061,1,30,+1nan,2,2016-12-07,99.0,,0,2016
2913,BOON ARUNEE THAI HOUSE,240 N VIRGIL AVE,LOS ANGELES,90004,3,150,+12133856653,3,2016-07-29,95.0,,0,2016
2914,BOONG UH TOWN,333 S ALAMEDA ST,LOS ANGELES,90013,22,30,+12135989832,3,2016-01-22,94.0,,0,2016
2915,BOONSHO RESTAURANT,3959 WILSHIRE BLVD,LOS ANGELES,90010,10,150,+1nan,3,2017-01-04,90.0,,0,2017
2916,BOOS PHILLY KTOWN,3377 WILSHIRE BLVD,LOS ANGELES,90010,10,30,+1nan,3,2016-08-31,93.0,,0,2016
2917,BOOS PHILLY STEAKS,4501 FOUNTAIN AVE,LOS ANGELES,90029,1,60,+13236611955,2,2017-01-05,96.0,,0,2017
2921,BORAN THAI RESTAURANT,5401 HOLLYWOOD BLVD,LOS ANGELES,90027,1,30,+13234698883,3,2016-10-06,94.0,,0,2016
2923,BORDER GRILL,380 WORLD WAY T38,LOS ANGELES,90045,1,150,+13104870872,3,2017-01-11,95.0,,0,2017
2924,BORDER GRILL,601 S FIGUEROA ST,LOS ANGELES,90017,2,30,+12652446860,2,2014-06-11,95.0,,1,2014
2925,BORDER GRILL DOWNTOWN LA,445 S FIGUEROA ST,LOS ANGELES,90071,9,151,+12134865171,3,2016-12-05,90.0,,0,2016
2926,BORDER GRILL DOWNTOWN LA BAR,445 S FIGUEROA ST,LOS ANGELES,90071,9,30,+12134865171,1,2016-09-15,93.0,,0,2016
2927,BORICHON,3540 WILSHIRE BLVD,LOS ANGELES,90010,3,60,+12133831114,3,2016-12-13,90.0,,0,2016
2933,BOSCO CAFE BAKERY,0928 S WESTERN AVE,LOS ANGELES,90006,1,30,+1nan,2,2016-09-06,91.0,,0,2016
2935,BOSSA NOVA,10982 W PICO BLVD,LOS ANGELES,90064,1,60,+1nan,3,2016-08-19,92.0,,0,2016
2937,BOSSA NOVA PIZZA PASTA & GRILL,7181 W SUNSET BLVD,LOS ANGELES,90046,1,60,+1nan,3,2017-01-10,93.0,,0,2017
2946,BOSTON MARKET,10759 W PICO BLVD,LOS ANGELES,90064,1,150,+1nan,3,2013-07-09,92.0,,1,2013
2952,BOSTON MARKET,8901 S SEPULVEDA BLVD,LOS ANGELES,90045,1,60,+1nan,3,2016-11-18,94.0,,0,2016
2957,BOTTEGA LOUIE,700 S GRAND AVE,LOS ANGELES,90017,1,151,+12138021470,3,2016-10-11,97.0,,0,2016
2959,BOTTLE FISH,11677 SAN VICENTE BLVD,LOS ANGELES,90049,4,150,+13109549495,3,2017-01-11,96.0,,0,2017
2962,BOTTLE ROCK,1050 S FLOWER ST,LOS ANGELES,90015,2,60,+1nan,3,2016-10-25,96.0,,0,2016
2965,BOTTOM LINE,2066 W MANCHESTER AVE,LOS ANGELES,90047,1,30,+1nan,1,2015-04-10,99.0,,1,2015
2972,BOULEVARD 3,6523 W SUNSET BLVD,LOS ANGELES,90028,1,151,+1nan,1,2016-06-03,96.0,,0,2016
2981,BOURBON STREET CAFE,698 S VERMONT AVE,LOS ANGELES,90005,9,60,+12136638133,2,2016-09-06,95.0,,0,2016
2983,BOURBON STREET SHRIMP,10928 W PICO BLVD,LOS ANGELES,90064,2,60,+1nan,3,2013-11-21,90.0,,1,2013
2984,BOURBON STREET SHRIMP & GRILLE,10928 W PICO BLVD,LOS ANGELES,90064,2,150,+13104740007,3,2016-08-02,80.0,,0,2016
2985,BOURGEOISE PIG CAFE,5931 FRANKLIN AVE,LOS ANGELES,90028,1,30,+1nan,2,2016-12-09,97.0,,0,2016
2989,BOWERY BUNGALOW,4156 SANTA MONICA BLVD,LOS ANGELES,90029,2,30,+1nan,3,2016-12-08,94.0,,0,2016
3002,BOWLERO LOS ANGELES,8731 LINCOLN BLVD,LOS ANGELES,90045,3,30,+1nan,1,2015-03-20,95.0,,1,2015
3003,BOWLERO MAR VISTA,12125 VENICE BLVD,LOS ANGELES,90066,2,150,+13103915288,3,2016-12-06,94.0,,0,2016
3004,BOWLMAN FAMILY,1500 S WESTERN AVE,LOS ANGELES,90006,1,30,+1nan,3,2016-11-18,92.0,,0,2016
3007,BOX SERVICE RESTAURANT,12301 N HIGHLAND AVE,LOS ANGELES,90068,4,151,+1nan,2,2015-05-23,94.0,,1,2015
3008,BOYLE HEIGHTS COFFEE,1850 1/2 E 1ST ST,LOS ANGELES,90033,2,30,+13237803923,2,2016-07-05,96.0,,0,2016
3012,BOYS BURGERS,1774 E FLORENCE AVE,LOS ANGELES,90001,2,30,+1nan,3,2016-06-30,93.0,,0,2016
3014,BOYS BURGERS NO.1,1774 E FLORENCE AVE,LOS ANGELES,90001,2,30,+15628625751,3,2016-12-09,93.0,,0,2016
3017,BRACK SHOP TAVERN,525 W 7TH ST,LOS ANGELES,90014,1,60,+1nan,3,2016-09-21,96.0,,0,2016
3018,BRADLEY MULTI-PURPOSE CENTER,10957 S CENTRAL AVE,LOS ANGELES,90059,1,60,+13232205333,3,2016-11-10,93.0,,0,2016
3033,BRASIL KISS COFFEE BAR,1010 WILSHIRE BLVD,LOS ANGELES,90017,1,30,+12015959474,2,2016-08-23,94.0,,0,2016
3034,BRASIL KISS COFFEE BAR,6350 SANTA MONICA BLVD,LOS ANGELES,90038,1,30,+12015959474,3,2016-11-14,95.0,,0,2016
3035,BRASS MONKEY,659 S MARIPOSA AVE,LOS ANGELES,90010,1,150,+1nan,3,2016-08-29,94.0,,0,2016
3044,BRAVO PIZZA AND SUB,5142 HOLLYWOOD BLVD,LOS ANGELES,90027,1,30,+13236600600,2,2017-01-03,93.0,,0,2017
3051,BREAD LOUNGE,700 S SANTA FE AVE,LOS ANGELES,90021,1,30,+13106517102,1,2016-09-21,99.0,,0,2016
3052,BREADBAR,10250 SANTA MONICA BLVD,LOS ANGELES,90067,25,150,+1nan,3,2017-01-10,72.0,,0,2017
3055,BREAK ROOM 86 (2ND FLOOR),3515 WILSHIRE BLVD 2 FL,LOS ANGELES,90010,1,150,+12133817411,1,2016-09-23,93.0,,0,2016
3056,BREAK ROOM CAFE,3244 CAHUENGA BLVD,LOS ANGELES,90068,1,30,+18184684735,3,2016-12-13,90.0,,0,2016
3059,BREAKROOM COFFEE AND FOOD,10100 SANTA MONICA BLVD,LOS ANGELES,90067,1,30,+13107850290,2,2016-09-15,91.0,,0,2016
3068,BRENTWOOD RESTAURANT & LOUNG,148 S BARRINGTON AVE,LOS ANGELES,90049,1,150,+1nan,3,2017-01-12,96.0,,0,2017
3069,BREW YOU,808 S WESTERN AVE,LOS ANGELES,90005,6,60,+1nan,2,2013-07-03,97.0,,1,2013
3070,BREW YOU COFFEE,808 S WESTERN AVE,LOS ANGELES,90005,6,60,+12134484416,2,2016-08-03,90.0,,0,2016
3072,BREW-N-BEANS,11911 SAN VICENTE BLVD,LOS ANGELES,90049,4,30,+1nan,2,2016-04-13,96.0,,0,2016
3075,BREWERDAVID DBA,902 S OLIVE ST,LOS ANGELES,90015,1,151,+1nan,2,2016-05-05,95.0,,0,2016
3076,BREWWELL COFFEE,6515 SUNSET BLVD,LOS ANGELES,90028,1,30,+18185217338,2,2016-12-20,94.0,,0,2016
3080,BRICK AND SCONES,403 N LARCHMONT BLVD,LOS ANGELES,90004,1,150,+13234630811,2,2016-10-18,90.0,,0,2016
3086,BRIDGE TAVERN,1356 PALMETTO ST,LOS ANGELES,90013,1,150,+1nan,3,2016-06-21,94.0,,0,2016
3094,BRISTOL FARMS BAKERY,8448 LINCOLN BLVD,LOS ANGELES,90045,3,30,+1nan,2,2016-07-26,98.0,,0,2016
3098,BRISTOL FARMS DELI,1515 E WESTWOOD BLVD,LOS ANGELES,90024,1,30,+1nan,3,2016-11-08,92.0,,0,2016
3103,BRISTOL FARMS-PEETS COFFEE,8448 LINCOLN BLVD,LOS ANGELES,90045,3,30,+1nan,2,2017-01-06,99.0,,0,2017
3104,BRISTOL FARMSDELL-CAFE,8448 LINCOLN BLVD,LOS ANGELES,90045,3,60,+1nan,3,2016-07-26,91.0,,0,2016
3109,BRIX PIZZA,708 W FLORENCE AVE,LOS ANGELES,90044,1,30,+15623346754,2,2016-05-13,95.0,,0,2016
3110,BROAD GREEN,6555 BARTON AVE FL 2ND,LOS ANGELES,90038,1,60,+13236881800,3,2016-10-26,95.0,,0,2016
3113,BROADWAY BAR,830 S BROADWAY,LOS ANGELES,90014,1,151,+1nan,1,2016-01-28,92.0,,0,2016
3114,BROADWAY EXPRESS,317 S BROADWAY,LOS ANGELES,90013,18,30,+12136870437,3,2014-06-04,93.0,,1,2014
3115,BROADWAY EXPRESS PREP ROOM,317 S BROADWAY AVE,LOS ANGELES,90013,1,30,+12136870437,3,2014-06-04,98.0,,1,2014
3116,BROADWAY FOOD CORNER,315 W 5TH ST,LOS ANGELES,90013,1,150,+1nan,3,2016-03-28,87.0,,0,2016
3117,BROADWAY HAWAII BBQ CAFE,317 S BROADWAY,LOS ANGELES,90013,18,30,+16264540368,3,2014-05-08,98.0,,1,2014
3118,BROADWAY SNACK BAR,621 S BROADWAY,LOS ANGELES,90014,1,30,+1nan,2,2015-05-18,96.0,,1,2015
3119,BROADWAY SOCIAL CENTER,2205 N BROADWAY,LOS ANGELES,90031,1,30,+1nan,1,2016-12-13,91.0,,0,2016
3120,BROADWAY TACO,6707 S BROADWAY,LOS ANGELES,90003,1,30,+1nan,3,2016-11-04,90.0,,0,2016
3126,BROKEN SPANISH,1050 S FLOWER ST,LOS ANGELES,90015,2,150,+1nan,3,2016-10-25,94.0,,0,2016
3131,BRONZED AUSSIE,714 S LOS ANGELES ST,LOS ANGELES,90014,1,30,+1nan,3,2016-12-06,90.0,,0,2016
3134,BROOKLYN PIZZA AND PASTA,9228 W PICO BLVD,LOS ANGELES,90035,1,60,+1nan,2,2016-12-22,92.0,,0,2016
3136,BROOKLYN WATER BAGEL,8732 SEPULVEDA BLVD,LOS ANGELES,90045,1,60,+1nan,2,2016-12-09,90.0,,0,2016
3139,BROOME STREET GENERAL STORE,2912 ROWENA AVE,LOS ANGELES,90039,1,30,+13235700405,1,2016-04-14,94.0,,0,2016
3142,BROTHERS BBQ,7725 CRENSHAW BLVD,LOS ANGELES,90043,1,30,+13237511050,3,2016-12-28,92.0,,0,2016
3146,BROTHERS SANDWICH SHOP,3274 W 6TH ST,LOS ANGELES,90020,1,30,+12133839900,2,2016-09-07,93.0,,0,2016
3148,BROWNSTONE BISTRO,5047 W PICO BLVD,LOS ANGELES,90019,1,150,+13239659400,3,2016-07-06,90.0,,0,2016
3149,BROWNSTONE PIZZERIA,2108 W COLORADO BLVD,LOS ANGELES,90041,1,60,+13235297536,2,2014-12-19,91.0,,1,2014
3151,BRU COFFEE BAR,1866 N VERMONT AVE,LOS ANGELES,90027,1,60,+1nan,2,2016-11-02,90.0,,0,2016
3152,BRU HAUS,11831 WILSHIRE BLVD,LOS ANGELES,90025,1,150,+13104732337,3,2016-09-01,91.0,,0,2016
3157,BRUNCH,720 S LOS ANGELES ST,LOS ANGELES,90014,1,30,+1nan,3,2016-12-06,90.0,,0,2016
3159,BRUNO CAFE,502 W 6TH ST,LOS ANGELES,90014,1,30,+1nan,3,2015-01-13,94.0,,1,2015
3167,BRUS COUNTER,10700 SANTA MONICA BLVD,LOS ANGELES,90025,1,30,+13109084622,3,2016-12-07,91.0,,0,2016
3172,BRYANS BBQ,6333 W 3RD ST,LOS ANGELES,90036,50,30,+1nan,3,2017-01-05,92.0,,0,2017
3174,BS TAQUERIA,514 W 7TH ST,LOS ANGELES,90014,1,60,+12136223744,3,2016-09-21,93.0,,0,2016
3183,BUCA DI BEPPO,6333 W 3RD ST 20-02,LOS ANGELES,90036,2,151,+1nan,3,2016-08-15,90.0,,0,2016
3189,BUCHUN GAMJATANG RESTAURANT,3055 W 7TH ST,LOS ANGELES,90005,5,150,+12133806166,3,2017-01-10,90.0,,0,2017
3192,BUDNAMU KOREAN BBQ HOUSE,809 S ARDMORE AVE,LOS ANGELES,90005,1,151,+12133859292,3,2016-11-02,81.0,,0,2016
3197,BUELLERS BAGELS,10840 W OLYMPIC BLVD,LOS ANGELES,90064,1,30,+1nan,2,2016-10-05,89.0,,0,2016
3216,BUFFALO WILD WINGS,3939 CRENSHAW BLVD E,LOS ANGELES,90008,1,150,+13106741828,3,2016-12-12,95.0,,0,2016
3220,BUFFALO WILD WINGS,6081 CENTER DR,LOS ANGELES,90045,21,151,+13103381340,3,2016-09-14,94.0,,0,2016
3221,BUFFALO WILD WINGS,7060 HOLLYWOOD BLVD,LOS ANGELES,90028,1,151,+19525939943,3,2016-10-25,90.0,,0,2016
3233,BUIL SANGYE TANG,4204 W 3RD ST,LOS ANGELES,90020,1,60,+12137390001,3,2016-09-15,85.0,,0,2016
3235,BUILT CUSTOM  BURGERS,3584 FIGUEROA ST,LOS ANGELES,90007,2,60,+12137421999,3,2014-11-20,93.0,,1,2014
3238,BUL E YA,2500 W 8TH ST,LOS ANGELES,90057,5,60,+1nan,3,2015-05-01,93.0,,1,2015
3239,BUL RO CHO HAN BANG BO YANG TANG,955 S VERMONT AVE E,LOS ANGELES,90006,1,60,+1nan,3,2016-09-15,91.0,,0,2016
3240,BULAN THAI,7168 MELROSE AVE,LOS ANGELES,90046,1,30,+13238571882,3,2016-07-15,94.0,,0,2016
3241,BULAN THAI VEGETERIAN KITCHE,4114 SANTA MONICA BLVD,LOS ANGELES,90029,1,30,+13239131488,3,2016-10-18,93.0,,0,2016
3244,BULGOGI HUT,3600 WILSHIRE BLVD,LOS ANGELES,90010,3,150,+12133881988,3,2016-11-03,82.0,,0,2016
3250,BULLET PROOF COFFEE,300 S SANTA FE AVE,LOS ANGELES,90013,4,30,+12132657040,1,2016-07-27,97.0,,0,2016
3259,BUNA ETHIOPIAN MARKET,1034 S FAIRFAX AVE,LOS ANGELES,90019,1,30,+13239649731,3,2017-01-12,99.0,,0,2017
3260,BUNKER HILL RESTAURANT,601 W 5TH ST,LOS ANGELES,90065,3,150,+1nan,3,2016-12-06,92.0,,0,2016
3265,BUORSAMATH,1565 W PICO BLVD,LOS ANGELES,90015,1,30,+1nan,2,2016-06-30,96.0,,0,2016
3274,BURGER BAR,350 S FIGUEROA ST,LOS ANGELES,90071,2,30,+13104806290,3,2016-12-07,91.0,,0,2016
3283,BURGER FACTORY,2066 W WASHINGTON BLVD,LOS ANGELES,90018,1,30,+13237375757,3,2016-11-03,90.0,,0,2016
3284,BURGER FACTORY,6050 HOLLYWOOD BLVD,LOS ANGELES,90028,1,30,+1nan,3,2016-09-27,90.0,,0,2016
3285,BURGER FACTORY II,1358 W MARTIN LUTHER KING BLVD,LOS ANGELES,90037,1,30,+1nan,3,2016-12-12,91.0,,0,2016
3288,BURGER KING,1011 N WESTERN AVE,LOS ANGELES,90029,1,150,+1nan,2,2017-01-04,91.0,,0,2017
3293,BURGER KING,1106 N CORNWELL ST,LOS ANGELES,90033,1,150,+1nan,2,2016-06-28,90.0,,0,2016
3295,BURGER KING,11239 S WESTERN AVE,LOS ANGELES,90047,1,150,+1nan,2,2014-07-29,99.5,,1,2014
3298,BURGER KING,1202 E FIRESTONE BLVD,LOS ANGELES,90002,1,60,+1nan,2,2015-02-27,98.0,,1,2015
3299,BURGER KING,1202 FIRESTONE BLVD,LOS ANGELES,90001,1,60,+13237820191,2,2016-10-17,96.0,,0,2016
3302,BURGER KING,1250 S LA BREA AVE,LOS ANGELES,90019,1,150,+1nan,2,2016-12-16,97.0,,0,2016
3304,BURGER KING,12736 S AVALON BLVD,LOS ANGELES,90061,1,60,+13237541373,2,2013-09-03,96.0,,1,2013
3308,BURGER KING,1301 GLENDALE BLVD,LOS ANGELES,90026,1,60,+1nan,2,2016-07-07,98.0,,0,2016
3316,BURGER KING,1453 W MANCHESTER AVE,LOS ANGELES,90047,1,150,+1nan,2,2016-07-29,97.0,,0,2016
3318,BURGER KING,1540 N EASTERN AVE,LOS ANGELES,90063,1,60,+13232633315,2,2016-11-23,96.0,,0,2016
3324,BURGER KING,1662 MARTIN LUTHER KING JR BLVD W,LOS ANGELES,90062,1,60,+13232961159,2,2017-01-06,98.0,,0,2017
3325,BURGER KING,1662 W MLK BLVD,LOS ANGELES,90062,1,60,+1nan,2,2014-10-03,95.0,,1,2014
3326,BURGER KING,1673 E 103RD ST,LOS ANGELES,90002,1,150,+13237794185,2,2016-06-03,98.0,,0,2016
3328,BURGER KING,1742 S LA CIENEGA BLVD,LOS ANGELES,90035,2,150,+13108365065,2,2015-11-23,91.0,,1,2015
3329,BURGER KING,1830 W 8TH ST,LOS ANGELES,90057,3,30,+12133652513,2,2016-07-27,92.0,,0,2016
3330,BURGER KING,1845 S VERMONT AVE,LOS ANGELES,90006,1,150,+13237321678,2,2016-12-21,96.5,,0,2016
3338,BURGER KING,2025 W 3RD ST,LOS ANGELES,90057,1,60,+12134849803,2,2016-07-21,98.0,,0,2016
3339,BURGER KING,2051 E FLORENCE AVE,LOS ANGELES,90001,1,150,+1nan,2,2016-12-15,98.0,,0,2016
3350,BURGER KING,2511 S SAN PEDRO ST,LOS ANGELES,90011,1,150,+1nan,2,2016-12-28,97.0,,0,2016
3357,BURGER KING,3036 S CRENSHAW BLVD,LOS ANGELES,90016,1,150,+1nan,2,2014-04-09,93.0,,1,2014
3358,BURGER KING,304 W CENTURY BLVD,LOS ANGELES,90003,1,150,+13237793684,2,2016-03-09,97.0,,0,2016
3360,BURGER KING,3101 N SAN FERNANDO RD,LOS ANGELES,90065,1,150,+1nan,2,2016-08-02,94.0,,0,2016
3362,BURGER KING,3241 N FIGUEROA ST,LOS ANGELES,90065,1,60,+1nan,2,2016-10-11,98.0,,0,2016
3363,BURGER KING,3501 E WHITTIER BLVD,LOS ANGELES,90023,1,150,+1nan,2,2016-08-04,98.0,,0,2016
3364,BURGER KING,3520 S SEPULVEDA BLVD,LOS ANGELES,90034,1,150,+1nan,2,2016-10-05,97.0,,0,2016
3374,BURGER KING,4410 S FIGUEROA ST,LOS ANGELES,90037,2,60,+1nan,2,2013-11-19,98.0,,1,2013
3375,BURGER KING,4918 W SUNSET BLVD,LOS ANGELES,90027,1,150,+1nan,2,2016-10-21,92.0,,0,2016
3376,BURGER KING,4959 EAGLE ROCK BLVD,LOS ANGELES,90041,1,150,+1nan,2,2016-07-21,94.0,,0,2016
3380,BURGER KING,5118 W WILSHIRE BLVD,LOS ANGELES,90036,1,150,+13239379615,2,2013-07-03,97.0,,1,2013
3382,BURGER KING,5228 W CENTINELA AVE,LOS ANGELES,90045,1,150,+1nan,2,2016-09-09,98.0,,0,2016
3384,BURGER KING,535 S ATLANTIC BLVD,LOS ANGELES,90022,1,150,+1nan,2,2014-09-22,94.0,,1,2014
3388,BURGER KING,5609 W SUNSET BLVD,LOS ANGELES,90028,1,60,+13234558539,2,2017-01-13,96.0,,0,2017
3389,BURGER KING,5656 W MANCHESTER AVE,LOS ANGELES,90045,2,60,+18184308196,2,2016-08-05,95.0,,0,2016
3390,BURGER KING,5850 S CRENSHAW BLVD,LOS ANGELES,90043,1,150,+13232945404,2,2016-08-22,97.0,,0,2016
3394,BURGER KING,6155 YORK BLVD,LOS ANGELES,90042,1,150,+12132565519,2,2016-10-18,97.0,,0,2016
3395,BURGER KING,7079 W SUNSET BLVD,LOS ANGELES,90028,1,150,+1nan,2,2017-01-09,96.0,,0,2017
3396,BURGER KING,7201 S FIGUEROA AVE,LOS ANGELES,90003,1,150,+12137586336,2,2016-10-21,94.0,,0,2016
3397,BURGER KING,7201 S FIGUEROA ST,LOS ANGELES,90044,1,150,+13237586336,2,2014-06-19,94.0,,1,2014
3405,BURGER KING,833 S CENTRAL AVE,LOS ANGELES,90021,1,150,+1nan,2,2016-11-16,93.0,,0,2016
3413,BURGER KING,911 W JEFFERSON BLVD,LOS ANGELES,90007,1,150,+1nan,2,2014-03-25,98.0,,1,2014
3414,BURGER KING,9601 AIRPORT BLVD,LOS ANGELES,90045,1,150,+1nan,2,2016-07-13,94.0,,0,2016
3416,BURGER KING 11299,700 W CESAR E CHAVEZ AVE,LOS ANGELES,90012,1,150,+12136260152,2,2016-12-30,97.0,,0,2016
3418,BURGER KING 13511,4410 S FIGUEROA ST,LOS ANGELES,90037,2,60,+1nan,2,2016-10-11,97.0,,0,2016
3419,BURGER KING 1630,3036 CRENSHAW BLVD,LOS ANGELES,90016,1,150,+13237372622,2,2016-09-23,98.0,,0,2016
3420,BURGER KING 2554,181 S VERMONT AVE,LOS ANGELES,90004,1,150,+12133867698,2,2017-01-12,98.0,,0,2017
3422,BURGER LOUNGE,11740 SAN VINCENTE BLVD,LOS ANGELES,90049,1,60,+1nan,3,2016-08-23,94.0,,0,2016
3425,BURGER LOUNGE,217 N LARCHMONT BLVD,LOS ANGELES,90004,1,30,+13234622310,3,2016-10-04,96.0,,0,2016
3433,BURGER PLAZA GRILL,3655 S GRAND AVE,LOS ANGELES,90007,6,30,+1nan,3,2016-10-11,99.0,,0,2016
3440,BURGERIM,5001 MELROSE AVE,LOS ANGELES,90029,1,60,+13238484848,3,2016-12-20,97.0,,0,2016
3442,BURGERLORDS,943 N BROADWAY,LOS ANGELES,90012,2,30,+1nan,3,2016-11-15,93.0,,0,2016
3457,BURRITO HUB,6112 SUNSET BLVD,LOS ANGELES,90028,1,30,+13233806404,3,2014-10-30,82.0,,1,2014
3458,BURRITO KING,2109 W SUNSET BLVD,LOS ANGELES,90026,1,30,+12134476218,3,2016-11-02,93.5,,0,2016
3466,BUSAN SUSHI,201 N WESTERN AVE,LOS ANGELES,90004,3,60,+13238710703,3,2013-10-15,90.0,,1,2013
3468,BUSBYS,5364 WILSHIRE BLVD,LOS ANGELES,90036,1,150,+1nan,3,2016-09-21,90.0,,0,2016
3469,BUSINESS CENTER CAFE,818 N HILL ST,LOS ANGELES,90012,2,30,+12136173077,1,2016-05-02,96.0,,0,2016
3470,BUTCHERS DOG,11301 W OLYMPIC BLVD,LOS ANGELES,90064,18,150,+13104442929,3,2016-07-14,90.0,,0,2016
3474,BUTTERFLY CAKE SHOP,1811 E FLORENCE AVE,LOS ANGELES,90001,1,30,+13235858230,2,2016-12-14,100.0,,0,2016
3475,BUTTERFLY DREAM,5706 SANTA MONICA BLVD,LOS ANGELES,90038,2,30,+13239299288,3,2016-10-12,91.0,,0,2016
3476,BUTTERSCOTCH  RESTAURANT,143 N LA BREA AVE,LOS ANGELES,90036,2,150,+13239382504,3,2016-09-07,94.0,,0,2016
3477,BUTTON MASH,1391 SUNSET BLVD,LOS ANGELES,90026,1,150,+12132509903,3,2016-09-22,92.0,,0,2016
3478,BUU DIEN FRENCH SANDWICHES,642 N BROADWAY,LOS ANGELES,90012,1,30,+1nan,2,2016-08-11,95.0,,0,2016
3485,BYBLOS,1964 WESTWOOD BLVD,LOS ANGELES,90025,1,151,+1nan,3,2016-11-03,92.0,,0,2016
